PROV,NOMPROV,IDDPTO,DPTO,DPTO_REF_ID,NOMDPTO,NAM,IN1,departamento_id
2.0,Ciudad Autónoma de Buenos Aires,1.0,2001.0,1.0,Comuna 01,Comuna 1,02007,2007
2.0,Ciudad Autónoma de Buenos Aires,2.0,2002.0,2.0,Comuna 02,Comuna 2,02014,2014
2.0,Ciudad Autónoma de Buenos Aires,3.0,2003.0,3.0,Comuna 03,Comuna 3,02021,2021
2.0,Ciudad Autónoma de Buenos Aires,4.0,2004.0,4.0,Comuna 04,Comuna 4,02028,2028
2.0,Ciudad Autónoma de Buenos Aires,5.0,2005.0,5.0,Comuna 05,Comuna 5,02035,2035
2.0,Ciudad Autónoma de Buenos Aires,6.0,2006.0,6.0,Comuna 06,Comuna 6,02042,2042
2.0,Ciudad Autónoma de Buenos Aires,7.0,2007.0,7.0,Comuna 07,Comuna 7,02049,2049
2.0,Ciudad Autónoma de Buenos Aires,8.0,2008.0,8.0,Comuna 08,Comuna 8,02056,2056
2.0,Ciudad Autónoma de Buenos Aires,9.0,2009.0,9.0,Comuna 09,Comuna 9,02063,2063
2.0,Ciudad Autónoma de Buenos Aires,10.0,2010.0,10.0,Comuna 10,Comuna 10,02070,2070
2.0,Ciudad Autónoma de Buenos Aires,11.0,2011.0,11.0,Comuna 11,Comuna 11,02077,2077
2.0,Ciudad Autónoma de Buenos Aires,12.0,2012.0,12.0,Comuna 12,Comuna 12,02084,2084
2.0,Ciudad Autónoma de Buenos Aires,13.0,2013.0,13.0,Comuna 13,Comuna 13,02091,2091
2.0,Ciudad Autónoma de Buenos Aires,14.0,2014.0,14.0,Comuna 14,Comuna 14,02098,2098
2.0,Ciudad Autónoma de Buenos Aires,15.0,2015.0,15.0,Comuna 15,Comuna 15,02105,2105
6.0,Buenos Aires,28.0,6028.0,16.0,Almirante Brown,Almirante Brown,06028,6028
6.0,Buenos Aires,35.0,6035.0,17.0,Avellaneda,Avellaneda,06035,6035
