,CODIGO PROVINCIA,PROVINCIA,Denominacion,VOTOS,Sector
0,2,BUENOS AIRES,CAMBIEMOS BUENOS AIRES,3072235,CAMBIEMOS
1,2,BUENOS AIRES,UNIDAD CIUDADANA,2875715,FPV / PJ
2,2,BUENOS AIRES,1PAIS,1313074,FR UNA / 1 PAIS
3,1,CIUDAD AUTONOMA DE BS.AS.,VAMOS JUNTOS,935324,CAMBIEMOS
4,4,CORDOBA,CAMBIEMOS,850778,CAMBIEMOS
5,4,CORDOBA,UNION POR CORDOBA,546197,
6,21,SANTA FE,FRENTE JUSTICIALISTA,502932,FPV / PJ
7,2,BUENOS AIRES,FRENTE JUSTICIALISTA,496267,FPV / PJ
8,21,SANTA FE,CAMBIEMOS,489537,CAMBIEMOS
9,23,TUCUMAN,FRENTE JUSTICIALISTA POR TUCUMAN,483366,FPV / PJ
10,2,BUENOS AIRES,VOTOS BLANCOS,446462,
11,13,MENDOZA,CAMBIEMOS,429616,CAMBIEMOS
12,1,CIUDAD AUTONOMA DE BS.AS.,UNIDAD PORTEÑA,391264,FPV / PJ
13,8,ENTRE RIOS,CAMBIEMOS,363454,CAMBIEMOS
14,22,SANTIAGO DEL ESTERO,FRENTE CIVICO POR SANTIAGO,353508,FPV / PJ
15,13,MENDOZA,FRENTE SOMOS MENDOZA,347272,FPV / PJ
16,2,BUENOS AIRES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,321464,FIT
17,8,ENTRE RIOS,FRENTE JUSTICIALISTA SOMOS ENTRE RIOS,320553,FPV / PJ
18,23,TUCUMAN,CAMBIEMOS PARA EL BICENTENARIO,284913,CAMBIEMOS
19,5,CORRIENTES,ENCUENTRO POR CORRIENTES - ECO + CAMBIEMOS,266515,CAMBIEMOS
20,6,CHACO,FRENTE CHACO MERECE MAS,264420,FPV / PJ
21,14,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA,256913,
22,1,CIUDAD AUTONOMA DE BS.AS.,EVOLUCION,246227,
23,17,SALTA,FRENTE UNIDAD Y RENOVACION,237564,
24,6,CHACO,CAMBIEMOS,224868,CAMBIEMOS
25,21,SANTA FE,FRENTE PROGRESISTA CIVICO Y SOCIAL,215863,
26,5,CORRIENTES,JUNTOS PODEMOS MAS,203278,FPV / PJ
27,18,SAN JUAN,FRENTE TODOS,196640,FPV / PJ
